Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,DRY",374.0,1.03,0.0,80.89,0.33,7.51,0
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD",123.0,0.37,0.0,26.05,0.11,2.91,1
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,DRY",380.0,0.94,0.0,82.32,0.05,7.82,0
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,PREP",117.0,0.5,0.0,25.1,0.0,2.18,1
"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",360.0,0.58,0.0,79.34,8.256540404040422,6.61,0
"RICE,WHITE,MEDIUM-GRAIN,CKD",130.0,0.21,0.0,28.59,8.256540404040422,2.38,1
"RICE,WHITE,SHORT-GRAIN,RAW",358.0,0.52,0.0,79.15,8.256540404040422,6.5,0
"RICE,WHITE,SHORT-GRAIN,CKD",130.0,0.19,0.0,28.73,8.256540404040422,2.36,1
"RICE,WHITE,GLUTINOUS,RAW",370.0,0.55,0.0,81.68,8.256540404040422,6.81,0
"RICE,WHITE,GLUTINOUS,CKD",97.0,0.19,0.0,21.09,0.05,2.02,1
"RICE,WHITE,WITH PASTA,DRY",368.0,2.44,2.0,75.32,8.256540404040422,9.37,0
"RICE,WHITE,W/PASTA,CKD",122.0,2.82,1.0,21.43,8.256540404040422,2.54,1
"RICE,WHITE,STMD,CHINESE RESTAURANT",151.0,0.27,41.551994091580504,33.88,8.256540404040422,3.2,1
"RICE BRAN,CRUDE",316.0,20.85,0.0,49.69,0.9,13.35,0
"RICE FLOUR,WHITE",366.0,1.42,0.0,80.13,0.12,5.95,0
RYE,338.0,1.63,0.0,75.86,0.98,10.34,0
"RYE FLOUR,DARK",325.0,2.22,0.0,68.63,2.31,15.91,0
"RYE FLOUR,MEDIUM",349.0,1.52,0.0,75.43,1.1,10.88,0
"RYE FLOUR,LIGHT",357.0,1.33,0.0,76.68,0.93,9.82,0
"SEMOLINA,ENRICHED",360.0,1.05,0.0,72.83,8.256540404040422,12.68,0
SORGHUM,339.0,3.3,0.0,74.63,8.256540404040422,11.3,0
"TAPIOCA,PEARL,DRY",358.0,0.02,0.0,88.69,3.35,0.19,0
TRITICALE,336.0,2.09,0.0,72.13,8.256540404040422,13.05,0
"TRITICALE FLR,WHOLE-GRAIN",338.0,1.81,0.0,73.14,8.256540404040422,13.18,0
"WHEAT,HARD RED SPRING",329.0,1.92,0.0,68.03,0.41,15.4,0
"WHEAT,HARD RED WINTER",327.0,1.54,0.0,71.18,0.41,12.61,0
"WHEAT,SOFT RED WINTER",331.0,1.56,0.0,74.24,0.41,10.35,0
"WHEAT,HARD WHITE",342.0,1.71,0.0,75.9,0.41,11.31,0
"WHEAT,SOFT WHITE",340.0,1.99,0.0,75.36,0.41,10.69,0
"WHEAT,DURUM",339.0,2.47,0.0,71.13,8.256540404040422,13.68,0
"WHEAT BRAN,CRUDE",216.0,4.25,0.0,64.51,0.41,15.55,1
"WHEAT GERM,CRUDE",360.0,9.72,0.0,51.8,8.256540404040422,23.15,0
"WHEAT FLOUR,WHOLE-GRAIN",340.0,2.5,0.0,71.97,0.41,13.21,0
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,BLEACHED",364.0,0.98,0.0,76.31,0.27,10.33,0
"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR",354.0,0.97,0.0,74.22,0.22,9.89,0
"WHEAT FLR,WHITE,BREAD,ENR",361.0,1.66,0.0,72.53,0.31,11.98,0
"WHEAT FLR,WHITE,CAKE,ENR",362.0,0.86,0.0,78.03,0.31,8.2,0
"WHEAT FLR,WHITE,TORTILLA MIX,ENR",405.0,10.63,0.0,67.14,8.256540404040422,9.66,0
"WHEAT,SPROUTED",198.0,1.27,0.0,42.53,8.256540404040422,7.49,1
"WILD RICE,RAW",357.0,1.08,0.0,74.9,2.5,14.73,0
"WILD RICE,COOKED",101.0,0.34,0.0,21.34,0.73,3.99,1
"RICE FLOUR,BROWN",363.0,2.78,0.0,76.48,0.85,7.23,0
"PASTA,CORN,DRY",357.0,2.08,0.0,79.26,8.256540404040422,7.46,0
"PASTA,CORN,COOKED",126.0,0.73,0.0,27.91,8.256540404040422,2.63,1
"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",288.0,2.3,73.0,54.73,8.256540404040422,11.31,0
"PASTA,FRESH-REFRIGERATED,PLN,CKD",131.0,1.05,33.0,24.93,8.256540404040422,5.15,1
"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",289.0,2.1,73.0,55.72,8.256540404040422,11.26,0
"PASTA,FRESH-REFRIGERATED,SPINACH,CKD",130.0,0.94,33.0,25.04,8.256540404040422,5.06,1
"PASTA,HOMEMADE,MADE W/EGG,CKD",130.0,1.74,41.0,23.54,8.256540404040422,5.28,1
"PASTA,HOMEMADE,MADE WO/EGG,CKD",124.0,0.98,0.0,25.12,8.256540404040422,4.37,1
"MACARONI,DRY,ENR",371.0,1.51,0.0,74.67,2.67,13.04,0
"MACARONI,COOKED,ENRICHED",158.0,0.93,0.0,30.86,0.56,5.8,1
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 5.70)",375.0,2.23,0.0,67.56,8.256540404040422,19.86,0
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 5.70)",164.0,0.21,0.0,31.66,8.256540404040422,8.08,1
"MACARONI,VEG,DRY,ENR",367.0,1.04,0.0,74.88,8.256540404040422,13.14,0
"MACARONI,VEG,CKD,ENR",128.0,0.11,0.0,26.61,1.15,4.53,1
"MACARONI,WHOLE-WHEAT,DRY",348.0,1.4,0.0,75.03,8.256540404040422,14.63,0
"MACARONI,WHOLE-WHEAT,CKD",124.0,0.54,0.0,26.54,0.8,5.33,1
"NOODLES,EGG,DRY,ENRICHED",384.0,4.44,84.0,71.27,1.88,14.16,0
"NOODLES,EGG,CKD,ENR",138.0,2.07,29.0,25.16,0.4,4.54,1
"NOODLES,EGG,SPINACH,DRY,ENR",382.0,4.55,95.0,70.32,8.256540404040422,14.61,0
"NOODLES,EGG,SPINACH,CKD,ENR",132.0,1.57,33.0,24.25,0.71,5.04,1
"NOODLES,CHINESE,CHOW MEIN",527.0,30.76,0.0,57.54,0.26,8.38,0
"NOODLES,JAPANESE,SOBA,DRY",336.0,0.71,0.0,74.62,8.256540404040422,14.38,0
"NOODLES,JAPANESE,SOBA,CKD",99.0,0.1,0.0,21.44,8.256540404040422,5.06,1
"NOODLES,JAPANESE,SOMEN,DRY",356.0,0.81,0.0,74.1,8.256540404040422,11.35,0
"NOODLES,JAPANESE,SOMEN,CKD",131.0,0.18,0.0,27.54,8.256540404040422,4.0,1
"NOODLES,FLAT,CRUNCHY,CHINESE RESTAURANT",521.0,31.72,0.0,51.9,0.25,10.33,0
"SPAGHETTI,DRY,ENRICHED",371.0,1.51,0.0,74.67,2.67,13.04,0
"SPAGHETTI,CKD,ENR,WO/ SALT",158.0,0.93,0.0,30.86,0.56,5.8,1
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 5.70)",375.0,2.23,0.0,67.56,8.256540404040422,19.86,0
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 5.70)",164.0,0.21,0.0,31.66,8.256540404040422,8.08,1
"SPAGHETTI,WHOLE-WHEAT,DRY",348.0,1.4,0.0,75.03,8.256540404040422,14.63,0
"SPAGHETTI,WHOLE-WHEAT,CKD",124.0,0.54,0.0,26.54,0.8,5.33,1
"SPAGHETTI,SPINACH,DRY",372.0,1.57,0.0,74.81,2.72,13.35,0
"SPAGHETTI,SPINACH,COOKED",130.0,0.63,0.0,26.15,8.256540404040422,4.58,1
"WHEAT FLOURS,BREAD,UNENR",361.0,1.66,0.0,72.53,0.31,11.98,0
BARLEY FLOUR OR MEAL,345.0,1.6,0.0,74.52,0.8,10.5,0
BARLEY MALT FLR,361.0,1.84,0.0,78.3,0.8,10.28,0
"OAT FLR,PART DEBRANNED",404.0,9.12,0.0,65.7,0.8,14.66,0
"RICE NOODLES,DRY",364.0,0.56,0.0,83.24,8.256540404040422,3.44,0
"RICE NOODLES,COOKED",109.0,0.2,0.0,24.9,8.256540404040422,0.91,1
"QUINOA,CKD",120.0,1.92,0.0,21.3,8.256540404040422,4.4,1
"KAMUT,UNCKD",337.0,2.2,41.551994091580504,70.38,8.19,14.7,0
"KAMUT,CKD",146.0,0.91,0.0,30.46,8.256540404040422,6.45,1
"SPELT,UNCKD",338.0,2.43,0.0,70.19,6.82,14.57,0
"SPELT,CKD",127.0,0.85,0.0,26.44,8.256540404040422,5.5,1
"TEFF,UNCKD",367.0,2.38,41.551994091580504,73.13,1.84,13.3,0
"TEFF,CKD",101.0,0.65,0.0,19.86,8.256540404040422,3.87,1
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 6.25)",374.0,2.23,0.0,65.65,8.256540404040422,21.78,0
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)",164.0,0.21,0.0,30.88,8.256540404040422,8.86,1
"NOODLES,EGG,CKD,ENR,W/ SALT",138.0,2.07,29.0,25.16,0.4,4.54,1
"CORN FLR,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)",364.0,5.09,41.551994091580504,73.89,8.256540404040422,8.75,0
"CORN FLR,WHOLE-GRAIN,WHITE",361.0,3.86,0.0,76.85,0.64,6.93,0
"CORN FLR,MASA,ENR,YEL",365.0,3.86,0.0,76.29,8.256540404040422,9.28,0
"CORNMEAL,WHOLE-GRAIN,WHITE",362.0,3.59,0.0,76.89,0.64,8.12,0
"SPAGHETTI,CKD,ENR,W/ SALT",157.0,0.93,0.0,30.59,0.56,5.8,1
"CORNMEAL,DEGERMED,ENR,WHITE",370.0,1.75,0.0,79.45,1.61,7.11,0
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,WHITE",334.0,3.4,0.0,70.28,8.256540404040422,8.28,0
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,WHITE",348.0,2.85,0.0,73.43,8.256540404040422,8.41,0
"CORNMEAL,SELF-RISING,DEGERMED,ENR,WHITE",355.0,1.72,0.0,74.79,8.256540404040422,8.41,0
"HOMINY,CANNED,YELLOW",72.0,0.88,0.0,14.26,8.256540404040422,1.48,1
"RICE,WHITE,LONG-GRAIN,REG,CKD,ENR,W/SALT",130.0,0.28,0.0,28.17,0.05,2.69,1
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED",364.0,0.98,0.0,76.31,8.256540404040422,10.33,0
"MACARONI,CKD,UNENR",158.0,0.93,0.0,30.86,0.56,5.8,1
"NOODLES,EGG,DRY,UNENR",384.0,4.44,84.0,71.27,1.88,14.16,0
"NOODLES,EGG,CKD,UNENR,WO/ SALT",138.0,2.07,29.0,25.16,0.4,4.54,1
"SPAGHETTI,DRY,UNENRICHED",371.0,1.51,0.0,74.67,2.67,13.04,0
"SPAGHETTI,CKD,UNENR,WO/ SALT",158.0,0.93,0.0,30.86,0.56,5.8,1
"CORNMEAL,DEGERMED,UNENR,YEL",370.0,1.75,0.0,79.45,1.61,7.11,0
"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",365.0,0.66,0.0,79.95,0.12,7.13,0
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,WO/SALT",130.0,0.28,0.0,28.17,0.05,2.69,1
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",374.0,1.03,0.0,80.89,0.33,7.51,0
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD",123.0,0.37,0.0,26.05,0.11,2.91,1
"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR",360.0,0.58,0.0,79.34,8.256540404040422,6.61,0
"RICE,WHITE,MEDIUM-GRAIN,CKD,UNENR",130.0,0.21,0.0,28.59,8.256540404040422,2.38,1
"RICE,WHITE,SHORT-GRAIN,RAW,UNENR",358.0,0.52,0.0,79.15,8.256540404040422,6.5,0
"RICE,WHITE,SHORT-GRAIN,CKD,UNENR",130.0,0.19,0.0,28.73,8.256540404040422,2.36,1
"SEMOLINA,UNENRICHED",360.0,1.05,0.0,72.83,8.256540404040422,12.68,0
"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR",364.0,0.98,0.0,76.31,0.27,10.33,0
"MACARONI,DRY,UNENRICHED",371.0,1.51,0.0,74.67,2.67,13.04,0
"NOODLES,EGG,CKD,UNENR,W/ SALT",138.0,2.07,29.0,25.16,0.4,4.54,1
"SPAGHETTI,CKD,UNENR,W/ SALT",157.0,0.93,0.0,30.59,0.56,5.8,1
"CORNMEAL,DEGERMED,UNENR,WHITE",370.0,1.75,0.0,79.45,1.61,7.11,0
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",164.0,0.21,0.0,30.88,8.256540404040422,8.86,1
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",130.0,0.28,0.0,28.17,0.05,2.69,1
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED",364.0,0.98,0.0,76.31,0.27,10.33,0
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)",374.0,2.23,0.0,65.65,8.256540404040422,21.78,0
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,ENR",367.0,1.43,0.0,77.32,0.54,8.89,0
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,UNENR",367.0,1.43,0.0,77.32,0.54,8.89,0
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,ENR",366.0,1.48,0.0,76.22,0.49,9.71,0
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,UNENR",366.0,1.48,0.0,76.22,0.49,9.71,0
"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR",366.0,1.48,41.551994091580504,76.22,0.49,9.71,0
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR",363.0,1.45,0.0,73.81,1.12,11.5,0
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,UNENR",363.0,1.45,0.0,73.81,1.12,11.5,0
"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,UNBLEACHED,ENR",363.0,1.45,41.551994091580504,73.81,1.12,11.5,0
"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,ENR",362.0,1.38,0.0,72.2,1.1,13.07,0
"WHEAT FLR,WHITE (INDUSTRIAL),13% PROT,BLEACHED,UNENR",362.0,1.38,0.0,72.2,1.1,13.07,0
"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,ENR",362.0,1.41,0.0,69.88,0.92,15.33,0
"WHEAT FLR,WHITE (INDUSTRIAL),15% PROT,BLEACHED,UNENR",362.0,1.41,0.0,69.88,0.92,15.33,0
MILLET FLR,373.0,4.25,41.551994091580504,73.05,1.66,10.75,0
SORGHUM FLR,361.0,3.29,41.551994091580504,77.47,1.87,7.87,0
"WHEAT FLR,WHOLE-GRAIN,SOFT WHEAT",332.0,1.95,0.0,74.48,1.02,9.61,0
"BREAKFAST ITEMS,BISCUIT W/EGG&SAUSAGE",312.0,20.77,161.0,21.05,0.95,11.13,1
"ENTREES,CRAB CAKE",266.0,17.25,137.0,8.52,8.256540404040422,18.75,1
"ENTREES,FISH FILLET,BATTERED OR BREADED,&FRIED",232.0,12.29,34.0,16.97,8.256540404040422,14.66,1
TOSTADA WITH GUACAMOLE,138.0,8.91,15.0,12.27,8.256540404040422,4.78,1
"FST FOODS, POTATO, FRNCH FRIED IN VEG OIL",314.0,16.12,0.0,38.44,0.69,3.76,0
"SIDE DISHES,POTATO SALAD",114.0,6.03,60.0,13.53,8.256540404040422,1.53,1
"FT FDS, HAMBRGER; SIN, LRG PATTY; W/ CONDMNTS, VEG, MAYO",226.0,12.37,33.0,17.33,4.0,11.34,1
"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES",182.0,6.46,16.0,26.82,24.37,4.02,1
"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",169.0,5.66,15.0,25.55,21.19,3.97,1
"K FRIED CHICK,FRIED CHICK,ORIGINAL RECIPE,SKN & BREAD",388.0,29.47,70.0,17.63,0.0,13.0,1
"GRILLED CHICK,BACON & TOMO CLB SNDWCH,W/ CHS,LETTUCE,& MAYO",220.0,8.05,46.0,19.87,4.68,17.19,1
"CRISPY CHICK,BACON,& TOMATO CLUB SNDWCH,W/ CHS,LETUCE,& MAYO",257.0,11.76,38.0,22.61,4.99,15.38,1
"YOGURT PARFAIT,LOWFAT,W/ FRUIT & GRANOLA",84.0,1.01,3.0,15.86,11.68,3.36,1
"SALAD,GRAPE & APPL W/ YOGURT & CANDIED WALNUTS",117.0,5.05,1.0,15.73,12.43,2.15,1
"KASHI PIZZA,RSTD VEG",224.0,8.4,16.0,24.5,2.9,12.5,1
"KASHI PIZZA,MUSHROOM TRIO & SPINACH",222.0,8.3,23.0,24.6,2.3,12.7,1
"KASHI PIZZA,MARGHERITA",230.0,8.4,17.0,25.7,3.3,12.8,1
"KASHI PIZZA,BASIL PESTO",212.0,7.7,12.0,24.2,2.1,12.2,1
"KASHI PIZZA,MEDITERRANEAN",231.0,7.5,12.0,31.0,2.8,12.7,1
"MORNINGSTAR FARMS GARDEN VEGGIE PATTIES,FRZ,UNPREP",176.0,5.6,2.0,13.7,1.8,17.8,1
"MORNINGSTAR FARMS GRILLERS BURGER STYLE REC CRMBL,FRZ,UNPREP",140.0,4.3,0.0,8.3,1.1,17.8,1
"MORNINGSTAR FARMS GRILLERS VEGAN,FRZ,UNPREP",132.0,3.4,0.0,9.1,0.4,16.3,1
"MORNINGSTAR FARMS VEGGIE BRKFST SAUSAGE PATTIES,FRZ,UNPREP",210.0,7.9,2.0,8.8,1.7,25.8,1
"MORNINGSTAR FARMS SPICY BLACK BEAN BURGER,FRZ,UNPREP",171.0,5.7,1.0,19.7,2.8,16.1,1
"GREEN GIANT,HARVEST BURGER,ORIG FLAV,ALL VEG PROT PATTY,FRZ",153.0,4.6,0.0,7.8,8.256540404040422,20.0,1
"LOMA LINDA BIG FRANKS,CND,UNPREP",218.0,12.1,0.0,5.8,0.4,21.5,1
"MACARONI & CHS,CND ENTREE",82.0,2.46,6.0,11.52,0.5,3.38,1
"SPAGHETTI W/ MEAT SAU,FRZ ENTREE",90.0,1.01,6.0,15.24,2.6,5.05,1
"PASTA W/SLICED FRANKS IN TOMATO SAU,CND ENTREE",90.0,2.38,9.0,12.7,3.17,4.37,1
"TURKEY POT PIE,FRZ ENTREE",176.0,8.8,16.0,17.7,8.256540404040422,6.5,1
"BEEF POT PIE,FRZ ENTREE,PREP",220.0,11.39,21.0,22.05,8.256540404040422,7.25,1
"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",235.0,8.6,29.0,30.4,7.6,8.9,1
"HOT POCKETS HAM 'N CHS STUFFED SNDWCH,FRZ",241.0,9.14,23.0,30.55,7.6,9.16,1
"RAVIOLI,CHEESE-FILLED,CND",79.0,1.45,3.0,13.64,3.72,2.48,1
"RAVIOLI,MEAT-FILLED,W/ TOMATO SAU OR MEAT SAU,CND",99.0,3.41,5.0,13.73,2.4,3.41,1
"TORTELLINI,PASTA W/ CHS FILLING,FRESH-REFRIGERATED",307.0,7.23,42.0,47.0,0.95,13.5,1
"CHILI CON CARNE W/BNS,CND ENTREE",107.0,3.47,9.0,13.1,1.87,5.8,1
"BEEF STEW,CANNED ENTREE",99.0,5.53,13.0,7.85,1.76,4.41,1
"CHICKEN POT PIE,FRZ ENTREE,PREP",214.0,10.83,24.0,23.03,3.81,6.08,1
"PASTA W/MEATBALLS IN TOMATO SAU,CND ENTREE",107.0,5.1,9.0,11.11,2.83,4.17,1
"BEEF,CORNED BF HASH,W/ POTATO,CND",164.0,10.24,32.0,9.27,0.34,8.73,1
"LASAGNA,CHS,FRZ,PREP",130.0,5.33,13.0,13.84,4.23,6.54,1
"CHILI,NO BNS,CND ENTREE",118.0,7.1,21.0,6.1,8.256540404040422,7.53,1
"SPAGHETTI,W/ MEATBALLS,CND",107.0,5.1,9.0,11.11,8.256540404040422,4.17,1
"PASTA W/ TOMATO SAU,NO MEAT,CND",70.0,0.44,1.0,14.22,4.0,2.22,1
"LASAGNA W/ MEAT & SAU,LOW-FAT,FRZ ENTREE",101.0,2.23,7.0,13.5,8.256540404040422,6.81,1
"LASAGNA W/ MEAT & SAU,FRZ ENTREE",127.0,4.73,15.0,12.87,2.13,8.26,1
"MACARONI & CHS,CND,MICROWAVABLE",134.0,5.99,20.0,13.96,1.41,5.98,1
"CAMPBELL,SPAGHETTIOS,MINI BF RAVIOLI IN MEAT SAU",99.0,1.74,4.0,16.6,5.41,4.25,1
"CAMPBELL,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU",80.0,0.6,2.0,15.87,5.16,2.78,1
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS ORIGINAL",67.0,0.4,2.0,13.89,4.37,2.38,1
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS A TO Z'S",67.0,0.4,2.0,13.89,4.76,2.38,1
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS IN MEAT SAU",69.0,0.79,4.0,12.3,4.76,3.17,1
"CAMPBELL ,SPAGHETTIOS,SPAGHETTIOS PLUS CA",67.0,0.4,2.0,13.89,5.16,2.38,1
"CAMPBELL ,SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU",106.0,3.17,8.0,15.08,3.57,4.37,1
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIO'S W/ MEATBALLS",95.0,2.78,8.0,12.7,3.17,4.37,1
"CAMPBELL ,SPAGHETTIOS,SPAGHETTIO'S W/ SLICED FRANKS",87.0,2.38,8.0,12.7,3.57,3.57,1
"CAMPBELL,SPAGHETTIOS,SPAGHETTIOS A TO Z'S W/ MEATBALLS",95.0,2.78,8.0,12.7,3.17,4.37,1
"SUPPER BAKES MEAL,CHEESY CHICK W/ PASTA (CHICK NOT INCLUDED)",198.0,4.71,6.0,31.76,4.71,7.06,1
"SUPPER BAKES MEAL KITS,CREAMY STROGANOFF SAU W/ PASTA",147.0,3.2,8.0,24.8,2.4,4.8,1
"SUPPER BAKES MEAL KITS,GARLIC CHICK W/ PASTA",220.0,0.98,5.0,42.93,6.83,9.76,1
"CAMPBELL, SUPPER BAKES MEAL KITS,HERB CHICK W/ RICE",197.0,1.06,5.0,42.55,2.13,4.26,1
"CAMPBELL SUPPER BAKES MEAL KITS,LEMON CHICK W/ HERB RICE",210.0,1.06,5.0,45.74,3.19,4.26,1
"CAMPBELL,SUPPER MEAL KITS,SAVORY PORK CHOPS W/ HERB STUFFING",181.0,1.18,6.0,36.64,4.73,5.91,1
"SUPPER BAKES MEAL KITS,SOUTHWESTERN-STYLE CHICK W/RICE",189.0,1.23,6.0,39.51,4.94,4.94,1
"SUPPER BAKES MEAL,CHICK W/ STUFFING (CHICK NOT INCLUDED)",190.0,3.56,6.0,34.44,3.56,5.94,1
"CAMPBELL SOUP COMPANY,SWANSON,CHICK A LA KING",71.0,4.03,7.0,4.03,0.67,4.7,1
"CAMPBELL SOUP COMPANY,SWANSON,CHICK & DUMPLINGS",93.0,4.05,14.0,9.72,0.81,4.45,1
"EGG ROLLS,PORK,REFR,HTD",222.0,7.17,14.0,29.5,5.32,9.94,1
"EGG ROLLS,CHICK,REFR,HTD",197.0,4.51,14.0,28.54,5.57,10.44,1
"EGG ROLLS,VEG,REFR,HTD",196.0,4.67,0.0,31.99,6.85,6.62,1
"LASAGNA,VEG,FRZ,BKD",139.0,6.04,14.0,14.18,2.54,6.87,1
"TKY,STUFFING,MSHD POTATO W/GRAVY,ASSORTED VEG,FRZ,MICROWAVE",128.0,3.89,14.0,16.32,4.82,6.97,1
"RICE BOWL W/ CHICK,FRZ ENTREE,PREP",126.0,1.56,16.0,22.46,4.07,5.65,1
"MACARONI & CHS DINNER W/ DRY SAU MIX,BOXED,UNCKD",368.0,3.42,7.0,69.21,9.61,14.97,0
"MACARONI & CHS DINNER W/ DRY SAU MIX,BOXED,PREP",173.0,5.77,4.0,24.31,5.47,6.07,1
"HOT POCKETS,MEATBALLS & MOZZARELLA STUFFED SNDWCH,FRZ",253.0,10.47,20.0,30.45,7.73,9.32,1
"LEAN POCKETS,HAM N CHEDDAR",230.0,6.53,20.0,32.52,7.6,10.28,1
"LEAN POCKETS,MEATBALLS & MOZZARELLA",240.0,7.7,20.0,32.28,8.81,10.49,1
"CAMPBELL SOUP COMPANY,SPAGHETTIOS ORIGINAL,EASY OPEN",70.0,0.47,2.0,14.55,4.23,2.35,1
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,W/ MEATBALLS -",87.0,2.43,10.0,11.65,3.4,4.37,1
"CHILI W/ BNS,MICROWAVABLE BOWLS",100.0,3.68,10.0,10.88,1.84,5.85,1
"MACARONI & CHS,FRZ ENTREE",149.0,6.41,10.0,17.28,1.53,5.6,1
POTATO SALAD W/ EGG,157.0,9.4,17.0,16.18,4.95,1.96,1
PULLED PORK IN BARBECUE SAU,168.0,4.42,35.0,18.74,15.2,13.19,1
"CORN DOGS,FRZ,PREP",267.0,12.95,36.0,29.71,8.82,7.93,1
"CHICKEN,NUGGETS,DK & WHITE MEAT,PRECKD,FRZ,NOT REHTD",260.0,16.13,31.0,16.32,0.8,12.48,1
"CHICKEN,NUGGETS,WHITE MEAT,PRECKD,FRZ,NOT REHTD",257.0,15.65,34.0,15.88,1.27,13.17,1
"RAVIOLI,CHS W/ TOMATO SAU,FRZ,NOT PREP,INCL REG & LT ENTREES",111.0,2.61,11.0,17.31,4.09,4.52,1
"BEEF,SHLDR POT RST OR STK,BNLS,LN & FAT,0"" FAT,ALL GRDS,R",130.0,4.97,66.0,0.0,0.0,21.39,1
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",247.0,18.51,64.0,0.0,0.0,18.8,1
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",297.0,21.83,71.0,0.0,0.0,23.51,1
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,RAW",222.0,14.82,56.0,0.0,0.0,20.72,1
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",294.0,21.18,65.0,0.0,0.0,24.05,1
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",220.0,15.32,57.0,0.0,0.0,19.19,1
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",280.0,19.47,62.0,0.0,0.0,24.33,1
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,RAW",192.0,11.84,45.0,0.0,0.0,19.89,1
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",265.0,17.54,57.0,0.0,0.0,25.01,1
"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",133.0,4.66,61.0,0.0,0.0,21.41,1
